Data,Algoritmo,Entrada,Caso,Tempo(s),Memoria(MB)
2025-06-02 21:19:26,Shell Sort,10000000,melhor caso,0.132046,40.710251
2025-06-02 21:19:27,Shell Sort,10000000,pior caso,0.209514,39.523926
2025-06-02 21:19:28,Shell Sort,10000000,caso medio,1.556682,40.516040
2025-06-02 21:21:45,Selection Sort,10000000,melhor caso,12908.707274,107.681885
2025-06-03 00:56:57,Selection Sort,10000000,pior caso,34385.171301,126.033356
2025-06-03 10:30:03,Selection Sort,10000000,caso medio,26495.261420,185.023975
2025-06-04 23:52:39,Heap Sort,10000000,melhor caso,0.033648,39.809982
2025-06-04 23:52:40,Heap Sort,10000000,pior caso,0.889908,39.743980
2025-06-04 23:52:41,Heap Sort,10000000,caso medio,2.489804,40.820010
2025-06-04 23:53:30,Shell Sort,1000000,melhor caso,0.020431,4.300430
2025-06-04 23:53:30,Shell Sort,1000000,pior caso,0.020636,4.000000
2025-06-04 23:53:31,Shell Sort,1000000,caso medio,0.105119,4.084026
